id,standard exp
0,work distracting incredibly complain 
1,great efficient happily happy loved fresh nice appreciated 
3,odd memorable superb uncomplicated flare classic hate suffice win 
4,sad hang better love 
5,cool sour horrible wow raving 
6,work clean fine pricey delicious encourage recommend authentic 
8,pros good fried sucks cons 
9,best great pan boil dim awesome cool 
10,great nice amazing perfect crazy reasonable 
11,great fried hot delicious 
12,liking nice recommendations spacious good skeptical stew best 
13,cute pretty recommend 
14,attentive good pretty 
15,helpful nice fried delicious favorite good enough expensive 
16,better unattractive 
17,happy good satisfied afraid joke 
18,perfectly warm cheesy seasoned perfection great friendly 
20,happy delicious impressed overpriced good 
21,quiet nice polite good delicious generous pretty 
22,well amazing top funny impeccable attentive awesome perfect sweet strong enough loved enjoy nice cozy best 
23,upset best 
24,fresh overpriced good friendly refined breeze 
25,wow measly favorite worth perfectly elegantly twisted good pretty terrible easy overlook bad better awesome 
26,ripped recommend good great loud lost worth 
27,good super friendly celebrate worried favorite great 
28,friendly great recommendations liking bomb recommend warm 
29,drunk fun excitement recommended awesome 
30,pretty fried liked good classic friendly 
31,intense divine worth better delicious helped perfect fried best right winner awful sweet hilarious happy 
32,fun great impressive passionate celebrate 
33,favorite well solid good perfect amazing happy prefer love 
34,suspect adorable fantastic skeptical soft romantic fun greasy good enough disappointed great friendly 
35,super easygoing friendly nice great recommend bland entertaining delicious heck good 
36,impressed hard fried pure works well happy delicious great super friendly complementary sufficiently good better love 
37,good perfect delicious 
38,sucked good better great loud boring difficult badly 
40,inventive well excellent love incredibly affordable friendly available great good 
42,awesome unlimited perfect great disappointed goodness decent sweet bonus happy unnecessary friendly pretty patient willing 
44,favorite lover lovely losing appreciate badly fantastic amazing died exquisite top perfect beautifully balanced best wonderful 
45,bright best good right lively boring 
46,nice appreciated great fresh right 
47,enough top good well incredibly upscale outstanding 
48,good comfort correctly fresh right smoke best tender refreshing soft fried cheesy envy great sadly enough lazy impress earnest amazing 
49,led fried thrilling awesome delicious bloody 
50,quaint cozy happily enjoying impressed clearly disappoint liked golden fresh pretty fall trap cheap super happy break noteworthy wonderfully awesome freaking fried fantastic exceptionally 
51,wow phenomenal great love top lost refreshing delicious friendly 
52,lovely enjoy annoyed devoid hate variety terrible strange enjoyed bad 
53,wonderful better good interesting liked hot helpless appreciated 
54,support glitz terrible pathetic 
55,good clean proud favorite great 
57,better great 
58,crazy hot goodness kill enjoy 
59,better variety great 
60,good decent well stale mediocre hard trouble 
61,pretty right well good complaint 
62,die authentic better 
63,honest worth hype excited bad enjoy good 
64,great 
65,loser tough odd crazy annoyed 
66,honest fav freedom super slap sloppily enough friendly bother bland worth weird 
68,sucks shame overpriced better variety miss disappointment 
69,excited disappointment ready warned rude better bother work hard fame 
70,good greasy rude cliche better 
71,better willing 
73,good poor amazing reputation rude horrible 
74,rude offensive great classic good delicious supporting 
76,trap inflammatory vomit darling wreaks satisfied authentic break idiots rude 
77,famous right worth pretty cool complaint sweet top lacking terrible best winner fun 
78,best love contempt bother silly exceptionally promptly variety cheap great nice work well fat terrific favorite 
80,popular tougher rival tough better trap 
81,overweight disgusting thank filthy dismissive mess bad better 
82,superior proper good incredible improve waste 
83,downhill beg desert stale dirty bad 
84,amazing difficult supporter murderer clearly support 
85,racist ignorant well important best 
86,good bad hype wrong poor impatient flawed 
87,fast better racist 
88,ready touchy good better complaints nasty nice 
91,right rude overpriced cold nauseating pretty 
94,bland severe lack clean pricey overrated 
96,better blinding fatty pretty expensive worst fried racist offensive crappy good 
98,brotherly love better problem ruined hell favor 
99,gaudy well 
101,cold worse freaking delicious 
102,fair rude shake racist honor needless prefer trap good 
103,crack well miracles satisfying detract doubtful great worth 
104,great fantastic better fresh good 
105,worse stale sweaty nightmare overwhelmed cloud stammer incredulously insufficient bad waste hapless 
108,boom pretty great 
109,inevitably 
110,liberty reputation hard rejected patience right good pretty skimpy cheaper recommend 
111,great pretty better hot overpriced 
113,hype flashy attraction disappointing horrible 
115,hard nasty authentic legendary bad 
116,right fortunately generously thicker worth 
117,well blatantly flaunt right freedom enough lies bad zombie free fanatic 
119,obnoxious exciting disappointed famous enjoy good 
120,top 
121,famous cold amazing overpriced good 
122,suffers impartial hot good 
123,favorite trap warm best ruin rude well satisfying enough available 
124,fair satisfied tough hot bigotry proud terrible ridiculous ruined 
125,wins delicious issues good win 
126,clean worried soft finely ghetto lucky 
127,bad pretty racist incredibly confusing well top stuck right overpriced 
128,rant awful racism deplorable easiest trap excellent authentic frozen disappointed satisfied best wise greasy 
129,overrun trap bad worthy 
130,well better disappointed hype 
131,bad famous trap better 
133,famous wins blah bright improve 
134,enough good crap 
137,idiot racist issues popular good douchebags 
138,overrated loose well better traumatic 
139,depressing poor perfect gruff hate waste 
141,enjoyed enjoy drunk better satisfy 
144,terrible super blind love rant 
145,overrated bad uneven fatty hate 
146,fatty waste fat tough trap worth right 
147,bland rude offensive 
148,reluctantly bad complaint positive disappointed 
150,fresher garbage drunk better exploitation great 
152,great better 
153,err glare inferior right bland better pretty good obnoxious best 
154,tough awful vice pleasure better 
156,cold embroiled 
157,honest better pretty entertaining solid sorry 
158,good fast friendly helped cancer easy negative doubt 
159,enough right bad noteworthy fun 
160,jerk right free crazy healthy 
161,great better nice wasted dumped likes 
162,horrible cold nasty 
163,worst likes unfriendly rude bland sorely unknown good 
165,warning bugs bug excited warned 
166,honest hype stale fun beware 
168,better tender fast killed nice funny classic 
170,hard right 
171,fuss bland good trap 
172,cleanliness 
173,evil right better elite drunken 
175,works right desperately wow friendliness better wins 
176,important efficient perfection astonishment well fallen respect love perfect 
177,magical wicked dizzy confusion smelly refuse free good shit won super confidence illegal mesmerized audacity 
178,enjoy shit lousy 
180,bright fast bad hype 
181,freaking bright proper 
183,good terrible frozen lack 
185,ugly good partisan enough great right prefer controversy fooled luck confrontational better satisfying appreciate indulge soft recommended 
186,famous fried hype spilling furiously eager whimper clearly racist 
187,better ruins ghetto likes beloved pretty great irony 
189,enjoyed split impressed enough great fresh friendly difficult good 
190,conveniently sadly fried enough honest 
193,best good incredible great slow attentive understandable 
194,enjoyed delicious comfortable relaxed helpful attentive 
195,delicious clean quiet beautifully golden fragrant lemon crisp 
196,amazing favorite fresh hot perfect fairly enough recommend 
198,excellent recommend intimate crowded fault distress right 
199,stumbled suitable break perfect delicious guilty trouble enjoyed 
201,best pretty good 
202,clear impossible best oddly loved 
203,right nice great dirty hot fine dumb admirable inexcusable 
204,die creative important 
206,miss honest bland amazing best solid delicious love worth 
208,perfect amazing dripping good well perfectly ugh great 
209,wonderful happy 
213,better smart awesome good 
214,great stereotypical split hefty pretty good perfectly sweet nice well 
215,excellent hell awesome sad disappointed good important odd top phenomenal refuses nasty incredible support loved love nice hot 
216,lost favorite good happy smile bastard effusive stellar champion super fresh complimentary delicious stumbled 
218,relaxed hard wrong enjoy correctly complaints loved dirty 
219,top complaint nice pleasant well good 
220,dead strong attentive 
221,cleanliness improved cleaner smell 
222,amazing good variety nasty drag mature 
223,prefer mess work fans pretty clean 
224,hot respect favorite wow great 
225,good 
226,best great refreshing nice 
228,nice worth better 
229,cheap delicious great attentive recommend authentic 
230,cute bomb good 
231,unfortunately audacity delicious tender enough wow affordable 
232,well amazing fried perfectly seasoned 
233,good top friendly trashy works well 
234,bland pig fat bumps right sweet well subtract warm friendly enjoyed 
235,mistaken gem good perfection honest promise favorite knock awesome love 
236,enjoy nicer terrific missed hot 
237,cheap stew enough satisfied friendly happily allergies 
238,smells charming fickle attentive nice stew well seasoned perfection shake smiles 
241,wonder clean fabulous 
242,displeasure wrong liked dark sticky 
243,comfortably mashed great 
244,great polite tender pleasant missed 
245,happy good work delicious wedge great mashed 
247,happy beautiful great faster 
248,amazing problem helped wonderful trouble fantastic well incredibly split 
249,super beautiful well hot bloody better generous comfortable enjoy funny 
250,cold good fresh liked nicely best crowded glad 
251,excellent mashed better worth 
252,right nice top 
253,praise classic perfect 
255,friendly shake good upscale 
